text,labels
PUTUSAN . NOMOR : 1974 / Pid . Sus / 2012 / PN . JKT . BAR . DEMI KEADILAN BERDASARKAN KETUHANAN YANG MAHA ESA . ,O O O O B_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN O O O O O O O O 
Pengadilan Negeri Jakarta Barat yang memeriksa dan mengadili perkara - perkara pidana dalam peradilan tingkat pertama dengan acara biasa telah menjatuhkan putusan sebagai berikut atas nama terdakwa : ,O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"AGNES TRI AHADI Als ANAS , lahir di Jakarta , umur / tanggal , 30 tahun / 8 Agustus 1982 , jenis kelamin laki - laki , kebangsaan Indonesia , tempat tinggal Jl . Kamp . Bali Gg . II . No . 5 Kel . Kampung Bali Kec . Tanah Abang Jakarta Pusat Terdakwa ditahan sejak tanggal 27 Juli 2012 sampai sekarang ; ",B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Terdakwa menolak didampingi oleh Penasehat Hukum ; ,O O O O O O O 
Pengadilan Negeri tersebut ; ,O O O O 
Setelah membaca berkas perkara ; ,O O O O O 
Setelah mendengar keterangan saksi - saksi dan terdakwa dipersidangan ; ,O O O O O O O O O O 
"Setelah mendengar tuntutan pidana dari Jaksa Penuntut Umum tertanggal 9 Januari 2013 , yang pada pokoknya agar Pengadilan Negeri Jakarta Barat berkenan memutuskan sebagai berikut : ",O O O O O O O O O O O O O O O O O O O O O O O O O O 
"MENUNTUT : 1 Menyatakan terdakwa AGNES TRI AHADI Als AGNES telah terbukti secara sah dan meyakinkan bersalah melakukan tindak pidana Narkotika memiliki , menyimpan , menguasai , atau menyediakan Narkotika golongan I bukan tanaman sebagaimana didakwakan dalam dakwaan kedua yaitu melanggar ketentuan unsure pasal 112 ayat ( 1 ) UURI No . 35 tahun 2009 tentang Narkotika ; ",O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O B_CRIA O O O O O O O O O O O O O O O O O O O O O O B_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV O 
"2 Menjatuhkan pidana terhadap terdakwa DERRY SUSANTO Als YANTO , dengan pidana penjara selama 5 ( lima ) tahun dan 3 ( tiga ) bulan dikurangi selama terdakwa berada dalam tahanan sementara dan pidana dendasebesar Rp . 800 . 0 . 0 , 0 , - ( delapan ratus ribu rupiah ) subsidair 4 ( empat ) bulan 1penjara ; ",O O O O O B_DEFN I_DEFN I_DEFN I_DEFN O O O O O B_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
3 Menyatakan barang bukti berupa : ,O O O O O O 
"2 ( dua ) bungkus plastic berisikan Kristal warna putih kecoklatan dengan berat netto setelah pemeriksaan 0 , 478 gram dirampas untuk dimusnahkan ; ",O O O O O O O O O O O O O O O O O O O O O O O O 
